University Name,Category,Campuses,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education,Campus_count
"Government College for Women University, Sialkot",General,Sialkot,,Public,Government of Punjab,Sialkot,Punjab,Yes,No,1
"Government College University, Faisalabad",General,Faisalabad,,Public,Government of Punjab,Faisalabad,Punjab,Yes,No,1
"Government College University, Hyderabad",General,Mian Campus,,Public,Government of Sindh,Hyderabad,Sindh,Yes,No,1
"Government College University, Lahore",General,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Government Sadiq College Women University,General,Bahawal Pur,,Public,Government of Punjab,Bahawal Pur,Punjab,Yes,No,1
Greenwich University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Habib University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Hajvery University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Hamdard University,General,Islamabad; Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,2
"Hands Institute of Development Studies, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Hazara University,General,Mian Campus; Mansehra,,Public,Government of Khyber Pakhtunkhwa,Mansehra,Khyber Pakhtunkhwa,Yes,No,2
"Health Services Academy (HSA), Islamabad",General,Mian Campus,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
HITEC University,General,Rawalpindi,,Private,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
Hyderabad Institute for Technology & Management Sciences,General,Mian Campus,,Public,Government of Pakistan,Hyderabad,Sindh,Yes,No,1
"Ibadat International University, Islamabad",General,Mian Campus,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"Ibn-e-Sina University, Mirpurkhas",General,Mian Campus,,Private,Government of Sindh,Mirpur Khas,Sindh,Yes,No,1
ILMA University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Imperial College of Business Studies,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Indus University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Indus Valley School of Art & Architecture,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Information Technology University of the Punjab,Engineering & Technology,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Institute for Art and Culture,Arts & Design,Mian Campus,,Private,Government of Pakistan,Lahore,Punjab,Yes,No,1
Institute of Business Administration,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
Institute of Business Managementhttp://www.iobm.edu.pk,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Institute of Management Sciences,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Institute of Management Sciences (2),General,Peshawar,,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
Institute of Southern Punjab,General,Multan,,Private,Government of Punjab,Multan,Punjab,Yes,No,1
Institute of Space Technology,General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"International Institute of Science, Arts and Technology, Gujranwala",General,Mian Campus,,Private,Government of Pakistan,Gujranwala,Punjab,Yes,No,1
International Islamic University,General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Iqra National University,General,Mian Campus; Peshawar,,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
Iqra University,General,Islamabad; Karachi; Quetta,,Private,Government of Sindh,Karachi,Sindh,Yes,No,3
Islamia College Peshawar,General,Peshawar,,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,1
Islamia University Bahawalpur,General,Bahawal Pur; Rahim Yar Khan,,Public,Government of Punjab,Bahawal Pur,Punjab,Yes,No,2
Isra University,General,Hyderabad; Islamabad; Karachi,,Private,Government of Sindh,Hyderabad,Sindh,Yes,No,3
Jinnah Sindh Medical University,General,Karachi,,Public,Government of Pakistan,Karachi,Sindh,Yes,No,1
Jinnah University for Women,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Karachi Institute of Economics & Technology,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Karachi Institute of Technology and Entrepreneurship (KITE), Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Karachi School of Business and Leadership,General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Karakurum International University,General,Mian Campus; Diamir; Ghizer,,Public,Government of Pakistan,Gilgit,Gilgit Baltistan,Yes,No,3
KASB Institute of Technology,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Khawaja Freed University of Engineering & Information Technology, Rahim Yar Khan",Engineering & Technology,Mian Campus,,Public,Government of Punjab,Rahim Yar Khan,Punjab,Yes,No,1
Khushal Khan Khattak University,General,Karak,,Public,Government of Khyber Pakhtunkhwa,Karak,Khyber Pakhtunkhwa,Yes,No,1
Khyber Medical University,General,Mian Campus; Peshawar,,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
Khyber Pakhtunkhwa Agricultural University,General,Mian Campus; Peshawar,,Public,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No,2
King Edward Medical University,General,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Kinnaird College for Women,General,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Kohat University of Science and Technology,General,Mian Campus; Kohat,,Public,Government of Khyber Pakhtunkhwa,Kohat,Khyber Pakhtunkhwa,Yes,No,2
"Kohsar University, Murree",General,Mian Campus,,Public,Government of Punjab,Rawalpindi,Punjab,Yes,No,1
Lahore College for Women University,General,Lahore,,Public,Government of Punjab,Lahore,Punjab,Yes,No,1
Lahore Garrison University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"Lahore Institute of Science & Technology, Lahore",General,Mian Campus,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Lahore Leads University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Lahore School of Economics,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
"Lahore University of Biological and Applied Sciences,Lahore",General,Mian Campus,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Lahore University of Management Sciences,General,Lahore,,Private,Government of Pakistan,Lahore,Punjab,Yes,No,1
"Lasbela University of Agriculture, Water & Marine Sciences",General,Lasbella,,Public,Government of Balochistan,Lasbella,Balochistan,Yes,No,1
Liaquat University of Medical & Health Sciences,General,Jamshoro,,Public,Government of Sindh,Jamshoro,Sindh,Yes,No,1
"Malir University of Science & Technology, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Mehran University of Engineering & Technology,General,Khairpur,,Public,Government of Sindh,Khairpur,Sindh,Yes,No,1
Metropolitan University Karachi,General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
"Millennium Institute of Technology and Entrepreneurship, Karachi",General,Mian Campus,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
Minhaj University,General,Lahore,,Private,Government of Punjab,Lahore,Punjab,Yes,No,1
Mir Chakar Khan Rind University,General,Mian Campus,,Public,Government of Balochistan,Sibi,Balochistan,Yes,No,1
Mir Chakar Khan Rind University of Technology,Engineering & Technology,Mian Campus,,Public,Government of Punjab,Dera Ghazi Khan,Punjab,Yes,No,1
Mirpur University of Science & Technology,General,Mirpur,,Public,Government of AJK,Mirpur,Azad Jammu & Kashmir,Yes,No,1
Mohi-ud-Din Islamic University,General,Nerian Sharif,,Private,Government of AJK,Nerian Sharif,Azad Jammu & Kashmir,Yes,No,1
Muhammad Ali Jinnah University,General,Karachi; Lahore; Quetta,,Private,Government of Sindh,Karachi,Sindh,Yes,No,3
Muhammad Nawaz Shareef University of Agriculture,Agriculture & Veterinary,Mian Campus,,Public,Government of Punjab,Multan,Punjab,Yes,No,1
Muhammad Nawaz Sharif University of  Engineering & Technology,General,Multan,,Public,Government of Punjab,Multan,Punjab,Yes,No,1
"Multan University of Science and Technology, Multan",General,Mian Campus,,Private,Government of Punjab,Multan,Punjab,Yes,No,1
"MY University, Islamabad",General,Mian Campus,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"Namal University, Mianwali",Engineering & Technology,Mian Campus,,Private,Government of Punjab,Mianwali,Punjab,Yes,No,1
National College of Arts,Arts & Design,Lahore; Rawalpindi,,Public,Government of Punjab,Lahore,Punjab,Yes,No,2
National College of Business Administration & Economics,General,Mian Campus; Bahawal Pur; Multan; Rahim Yar Khan,,Private,Government of Punjab,Lahore,Punjab,Yes,No,4
National Defense University,General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"National Skills University, Islamabad",Engineering & Technology,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
National Textile University,General,Mian Campus; Karachi,,Public,Government of Pakistan,Faisalabad,Punjab,Yes,No,2
"National University of Computer & Emerging Sciences, Islamabad",General,Mian Campus; Chiniot; Karachi; Lahore; Peshawar,,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,5
National University of Medical Sciences (NUMS),Medical,Rawalpindi,,Public,Government of Pakistan,Rawalpindi,Punjab,Yes,No,1
National University of Modern Languages,General,Mian Campus; Faisalabad; Hyderabad; Karachi; Lahore; Multan; Peshawar; Quetta; Rawalpindi,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,9
National University of Pakistan,General,Mian Campus,,Public,Government of Pakistan,Rawalpindi,Punjab,Yes,No,1
National University of Sciences & Technology,General,Islamabad,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
"National University of Technology (NUTECH), Islamabad",Engineering & Technology,Mian Campus,,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No,1
Nazeer Hussain University,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
NED University of Engineering & Technology,General,Karachi,,Public,Government of Sindh,Karachi,Sindh,Yes,No,1
Newport Institute of Communications & Economics,General,Karachi,,Private,Government of Sindh,Karachi,Sindh,Yes,No,1
NFC Institute of Engineering & Technology,Engineering & Technology,Mian Campus,,Public,Government of Punjab,Multan,Punjab,Yes,No,1
